CHARACTER,PINYIN,,,,,,,DEFINTIIONS,,,,,
一,yī,yí,yì,,,,,one , a , an , alone,,
七,qī,qí,,,,,,seven,,,,,
万,mò,wàn,,,,,,ten thousand , innumerable,,,,
上,shǎng,shàng,,,,,,top , superior , highest , go up , send up,
不,bú,bù,,,,,,no , not , un- , negative prefix,,
与,yú,yǔ,yù,,,,,and , with , to , for , give , grant
个,gè,gě,,,,,,numerary adjunct , piece , single,,,
中,zhōng,zhòng,,,,,,central , center , middle , in the midst of , hit (target) , attain
为,wéi,wèi,,,,,,do , handle , govern , act , be,
么,ma,me,yāo,,,,,interrogative particle ,, tender,,,
了,le,liǎo,liào,,,,,to finish , completed action,,,,
亲,qīn,qìng,,,,,,relatives , parents ,,,,
从,cōng,cóng,,,,,,from , by , since , whence , through,
令,líng,lǐng,lìng,,,,,command , order , commandant, magistrate , allow , cause
会,huì,kuài,,,,,,assemble , meet together , meeting,,,
传,chuán,zhuàn,,,,,,summon , propagate , transmit,,,
作,zuō,zuó,zuò,,,,,make , work , compose , write , act , perform
便,biàn,pián,,,,,,convenience , ease , expedient,,,
俩,liǎ,liǎng,,,,,,two , pair,,,,
倒,dǎo,dào,,,,,,fall over , lie down , take turns,,,
假,jiǎ,jià,,,,,,falsehood , deception , vacation,,,
八,bā,bá,,,,,,eight , all around , all sides,,,
六,liù,lù,,,,,,number six,,,,,
其,jī,qí,,,,,,his , her , its , their , that,
写,xiě,xiè,,,,,,write , draw , sketch , compose,,
冲,chōng,chòng,,,,,,soar , pour boiling water over,,,,
几,jī,jǐ,,,,,,small table,,,,,
分,fēn,fèn,,,,,,divide , small unit of time etc.,,,,
别,bié,biè,,,,,,separate , other , do not,,,
区,ōu,qū,,,,,,area , district , region , ward,,
单,chán,dān,shàn,,,,,single , individual , only , lone,,
卡,kǎ,qiǎ,,,,,,card , punch card , calorie,,,
发,fā,fà,,,,,,issue , dispatch , send out , hair,,
句,gōu,gòu,jù,,,,,sentence,,,,,
只,zhī,zhǐ,,,,,,only , just , simply,,,
可,kě,kè,,,,,,may , can , -able , possibly,,
台,tāi,tái,,,,,,platform , unit , term of address,,,
号,háo,hào,,,,,,mark , sign , symbol , number,,
同,tóng,tòng,,,,,,same , similar , together with,,,
吐,tǔ,tù,,,,,,vomit , spew out , cough up,,,
吓,hè,xià,,,,,,scare , frighten , intimidate,,,
吗,má,mǎ,ma,,,,,final interrogative particle,,,,,
吧,bā,ba,,,,,,emphatic final particle,,,,,
吵,chāo,chǎo,,,,,,argue , dispute , disturb , annoy,,
呀,yā,ya,,,,,,surprise, ,,,,
呃,è,e,,,,,,belch , hiccup,,,,
呆,ái,dāi,,,,,,dull , dull-minded , simple , stupid,,
员,yuán,yún,yùn,,,,,member , personnel , staff member,,,
呢,ne,ní,,,,,,interrogative, ,,,,
和,hé,hè,hú,huó,huò,,,harmony , peace , peaceful , calm,,
哇,wā,wa,,,,,,vomit , cry of an infant,,,,
哈,hā,hǎ,hà,,,,,sound of laughter,,,,,
哦,é,ó,ò,,,,,oh? really? is that so?,,,,,
哪,nǎ,na,nǎi,né,něi,,,which? where? how?,,,,,
唔,ń,ńg,wú,,,,,hold in mouth , bite , ,,,
啊,ā,á,ǎ,à,a,,,exclamatory particle,,,,,
啦,lā,la,,,,,,final particle of assertion,,,,,
喔,ō,ò,wō,,,,,crying,,,,,
喝,hē,hè,,,,,,drink , shout , call out,,,
嗨,hāi,hēi,,,,,,an exclamation,,,,,
嗯,ń,ň,ǹ,ńg,ňg,ǹg,,final particle,,,,,
嘘,shī,xū,,,,,,exhale , blow out , deep sigh , hiss , praise,
嘿,hēi,mò,,,,,,be silent , be quiet,,,,
圈,juān,juàn,quān,,,,,to circle , a circle , corral,,,
地,de,dì,,,,,,earth , soil , ground , region,,
场,cháng,chǎng,,,,,,open space , field , market,,,
坏,huài,pī,,,,,,rotten , spoilt , bad , broken down,,
堆,duī,zuī,,,,,,heap , pile , crowd , pile up,,
处,chǔ,chù,,,,,,place , locale , department,,,
大,dà,dài,,,,,,big , great , vast , large , high,
头,tóu,tou,,,,,,head , top , chief , first , boss,
好,hǎo,hào,,,,,,good , excellent , fine , well,,
家,jiā,jia,jie,,,,,house , home , residence , family,,
将,jiāng,jiàng,qiāng,,,,,will , going to , future , general,,
少,shǎo,shào,,,,,,few , less , inadequate,,,
尽,jǐn,jìn,,,,,,exhaust , use up , deplete,,,
差,chā,chà,chāi,chài,cī,,,to differ , different , wrong , nearly , almost , an officer
已,sì,yǐ,,,,,,already , finished , stop,,,
干,gān,gàn,,,,,,oppose , offend , invade , dried,,
并,bīng,bìng,,,,,,combine , annex , also , what's more,,
底,de,dǐ,,,,,,bottom , underneath , underside,,,
度,dù,duó,,,,,,degree , system , manner , to consider,,
弄,lòng,nòng,,,,,,do , play or fiddle with , alley,,,
弹,dàn,tán,,,,,,pellet , bullet , shot , shell,,
强,jiàng,qiáng,qiǎng,,,,,strong , powerful , energetic,,,
当,dāng,dàng,,,,,,bear , accept , undertake , just,,
往,wǎng,wàng,,,,,,go , depart , past , formerly,,
待,dāi,dài,,,,,,treat , entertain , receive , wait,,
得,dé,de,děi,,,,,obtain , get , gain , acquire,,
忘,wáng,wàng,,,,,,forget , neglect , miss , omit,,
戏,hū,xì,,,,,,theatrical play , show,,,,
打,dá,dǎ,,,,,,strike , hit , beat , fight , attack,
把,bǎ,bà,,,,,,hold , take , guard , regard as,,
抢,qiāng,qiǎng,,,,,,plunder , rob , take by force,,,
拉,lā,lá,lǎ,là,,,,pull , drag , seize , hold , lengthen,
指,zhī,zhí,zhǐ,,,,,finger , toe , point , indicate,,
排,pái,pǎi,,,,,,row , rank , line,,,
提,dī,tí,,,,,,hold in hand , lift in hand,,,,
教,jiāo,jiào,,,,,,teach , class,,,,
数,shǔ,shù,shuò,,,,,number , several , count , fate,,
无,mó,wú,,,,,,negative , no , not ,,,
更,gēng,gèng,,,,,,more , still further , much more,,,
曾,céng,zēng,,,,,,already , sign of past,,,,
有,yǒu,yòu,,,,,,have , own , possess , exist,,
朝,cháo,zhāo,,,,,,dynasty , morning,,,,
查,chá,zhā,,,,,,investigate , examine , seek into,,,
正,zhēng,zhèng,,,,,,right , proper , correct,,,
没,méi,mò,,,,,,not , have not , none , drown , sink,
洗,xǐ,xiǎn,,,,,,wash , rinse , clean , purify,,
派,pā,pài,,,,,,school of thought , sect , branch,,,
混,hún,hùn,,,,,,to mix , blend , mingle , to bumble,,
片,piān,piàn,,,,,,slice , splinter , strip ,,,
猫,māo,máo,,,,,,cat,,,,,
王,wáng,wàng,,,,,,king , ruler , royal , surname,,
的,de,dí,dì,,,,,possessive , adjectival suffix,,,,
看,kān,kàn,,,,,,look , see , examine , scrutinize,,
着,zhāo,zháo,zhe,zhuó,,,,make move , take action,,,,
种,chóng,zhǒng,zhòng,,,,,seed , race , breed , to plant,,
空,kōng,kòng,,,,,,empty , hollow , bare , deserted,,
累,léi,lěi,lèi,,,,,tired , implicate , involve , bother,,
红,gōng,hóng,,,,,,red , vermillion , blush , flush,,
约,yāo,yuē,,,,,,treaty , agreement , covenant,,,
给,gěi,jǐ,,,,,,give , by , for,,,
耶,yē,yé,,,,,,used in transliteration,,,,,
背,bēi,bèi,,,,,,back , back side , behind , betray,,
脚,jiǎo,jué,,,,,,leg , foot , base , leg , foundation,
臭,chòu,xiù,,,,,,smell , stink , emit foul odor,,,
节,jiē,jié,,,,,,knot , node , joint , section,,
藏,cáng,zàng,,,,,,hide , conceal , hoard , store up,,
血,xiě,xuè,,,,,,blood ,,,,,
行,háng,hàng,xìng,xíng,,,,go , walk , move , travel , circulate,
要,yāo,yào,,,,,,necessary , essential , necessity,,,
见,jiàn,xiàn,,,,,,see , observe , behold , perceive,,
语,yǔ,yù,,,,,,language , words , saying , expression,,
说,shuì,shuō,yuè,,,,,speak , say , talk , scold , upbraid,
读,dòu,dú,,,,,,read , study , pronounce,,,
谁,shéi,shuí,,,,,,who? whom?, whose? anyone?,,,,
赚,zhuàn,zuàn,,,,,,make money , earn , gain , profit,,
跑,páo,pǎo,,,,,,run , flee , leave in hurry,,,
车,chē,jū,,,,,,cart , vehicle , carry in cart,,,
转,zhuǎi,zhuǎn,zhuàn,,,,,shift , move , turn,,,
边,biān,bian,,,,,,edge , margin , side , border,,
过,guō,guò,,,,,,pass , pass through , go across,,,
还,hái,huán,,,,,,still , yet , also , besides,,
这,zhè,zhèi,,,,,,this , the , here,,,
通,tōng,tòng,,,,,,pass through , common , communicate,,,
那,nā,nǎ,nà,nǎi,nè,něi,nèi,that , that one , those,,,
都,dōu,dū,,,,,,metropolis , capital , all , the whole , elegant , refined
里,lǐ,li,,,,,,unit of distance , village , lane,,,
重,chóng,zhòng,,,,,,heavy , weighty , double,,,
长,cháng,zhǎng,,,,,,long , length , excel in , leader,,
间,jiān,jiàn,,,,,,midpoint , space , place , locality,,
阿,ā,a,ē,,,,,name prefix , used in transliteration,,,,
难,nán,nàn,,,,,,difficult , arduous , hard , unable,,
顿,dú,dùn,,,,,,pause , stop , bow , kowtow , arrange,
鸟,diǎo,niǎo,,,,,,bird ,,,,,
